,Kode,Nama,Jumlah,Harga,Total,Status Penjualan
0,KK0538,GG SURYA 12,114,19000,2166000,Sangat Laris
1,KK1288,BONCABE MAKARONI 150G LV 10,1,7500,7500,Kurang Laris
2,KK1697,INDOFOOD SAMBAL PEDAS MANIS 135ML,2,5500,11000,Laris
3,KK0540,GG SURYA 50 ECER,175,1500,262500,Sangat Laris
4,KK0432,MENARA  FILTER MERAH BKS 16'S,3,16000,48000,Laris
5,KK0963,LE MINERAL 600ML,5,2500,12500,Sangat Laris
6,KK1512,INDOFOOD BUMBU OPOR SYSM,1,5500,5500,Kurang Laris
7,KK0145,KAPAL API  SPECIAL PCK 65g,10,5000,50000,Sangat Laris
8,KK1852,SAORI SAUS RASA MENTEGA 26ML,1,3000,3000,Kurang Laris
9,KK1157,AICE SWEET CORN,19,3000,57000,Sangat Laris
10,KK0051,SEK OM KUNING,20,500,10000,Sangat Laris
11,KK0049,CENGKEH,39,1000,39000,Sangat Laris
12,KK1251,GERY SALUT 0 DONAT,20,500,10000,Sangat Laris
13,KK0856,FRUIT TEA BTL JAMBU KLUTHUK 350ML,4,3500,14000,Sangat Laris
14,KK0632,GAS 3KG,37,19000,703000,Sangat Laris
15,KK1881,LIFEBUOY BW LEMON 85ML,1,5000,5000,Kurang Laris
16,KK0274,SHINZUI SBM SKIN  HANNA BOX 87/85g,4,3500,14000,Sangat Laris
17,KK0001,HANSAPLAST PLESTER ELASTIC STD,6,1000,6000,Sangat Laris
18,KK1398,OKEY SOSIS AYAM BAKAR 15G,28,500,14000,Sangat Laris
19,KK0595,ROYCO AYAM 8g,2,5000,10000,Laris
20,KK0588,SUNLIGHT JERUK NIPIS PCH 210/220mL,8,5000,40000,Sangat Laris
21,KK1271,OKKY JELLY BIG STRAWBERRY,7,2000,14000,Sangat Laris
22,KK0636,FRUIT TEA BLACKCURRANT PCH 230ML,9,2000,18000,Sangat Laris
23,KK0286,INDOMILK UHT KIDS STRAWBERRY 115mL,4,2500,10000,Sangat Laris
24,KK1169,ANDALAN FILTER 16,35,15500,542500,Sangat Laris
25,KK1213,HELLO PANDA CHOCO CREAM,3,1000,3000,Laris
26,KK0648,HELLO PANDA MILK CREAM 10GR,3,1000,3000,Laris
27,KK0937,ASAM JAWA 500,16,500,8000,Sangat Laris
28,KK1449,BISKUAT BOLU 16.6G,2,2000,4000,Laris
29,KK1812,GAGA MI GORENG SPESIAL,2,2500,5000,Laris
30,KK0228,BENDERA FF SKM PUTIH 40g,2,1500,3000,Laris
31,KK0597,BANGO KECAP MANIS  PCH 60mL,5,3000,15000,Sangat Laris
32,KK0330,SEGITIGA BIRU TEPUNG TERIGU TRANSPARANT 500g,6,6000,36000,Sangat Laris
33,KK1886,TROPICAL 2L,4,34000,136000,Sangat Laris
34,KK0560,SAMPOERNA MILD 12'S,21,18000,378000,Sangat Laris
35,KK1840,MONDE SNACK SPICY 60G,2,4500,9000,Laris
36,KK1525,TEBS KALENG 330ML,7,4000,28000,Sangat Laris
37,KK1179,ZEE CHOCO BOOM 27G,2,2000,4000,Laris
38,KK1555,NEXTAR PINEAPPLE JAM 40G,5,2000,10000,Sangat Laris
39,KK1693,OISHI PILLOWS KEJU 7G,13,500,6500,Sangat Laris
40,KK1692,OISHI PILLOWS UBI 7G,11,500,5500,Sangat Laris
41,KK0159,TEH GELAS MINUMAN TEH ALAMI  CUP 170mL,103,1000,103000,Sangat Laris
42,KK1287,BOLT  IKAN 1KG,11,21000,231000,Sangat Laris
43,KK1158,AICE MOCHI VANILA,22,2500,55000,Sangat Laris
44,KK0328,CIMORY COKELAT 125ML,8,2500,20000,Sangat Laris
45,KK0281,CHO CHO MILK BEAR 7G,5,500,2500,Sangat Laris
46,KK0688,WAFELLO COKLAT,2,2000,4000,Laris
47,KK0752,MERRIES M9,9,17000,153000,Sangat Laris
48,KK0656,GULA PASIR PUTIH LOS 1KG,57,12000,684000,Sangat Laris
49,KK1155,AICE MANGO SLUSH,4,4000,16000,Sangat Laris
50,KK1164,AICE CHOCO MELT,12,4000,48000,Sangat Laris
51,KK1028,OREO ICE CREAM 4'S,3,2000,6000,Laris
52,KK0082,ABC SAMBAL PEDAS PCK 10x18g,1,1000,1000,Kurang Laris
53,KK0164,FULLO CHOCO&VANILLA MILK 8G,2,500,1000,Laris
54,KK1757,ALE ALE LECI,17,1000,17000,Sangat Laris
55,KK1161,AICE TARO CRISPY,7,3000,21000,Sangat Laris
56,KK1458,SUPER BUBUR CUP AYAM,1,6000,6000,Kurang Laris
57,KK1714,TARO NET ITALIAN PIZZA 9G,4,1000,4000,Sangat Laris
58,KK1894,SUPER BUBUR BURYAM 22G,10,1000,10000,Sangat Laris
59,KK0890,JETZ CHOCO FIESTA 12G,11,1000,11000,Sangat Laris
60,KK0487,SEDAAP GRG KR SPICY 87g,15,3000,45000,Sangat Laris
61,KK1239,AICE JERUK,21,2000,42000,Sangat Laris
62,KK1270,ALE ALE STROWBERRY,20,1000,20000,Sangat Laris
63,KK1564,BETTER FUN BITES ISI 4 48GR,5,2000,10000,Sangat Laris
64,KK0685,CHOCOLATOS PREMIUM STICK,30,500,15000,Sangat Laris
65,KK1189,KACANG KORO ORIGINAL 18G,7,1000,7000,Sangat Laris
66,KK0686,GERY SALUT COKLAT 7.5G,8,500,4000,Sangat Laris
67,KK1037,BODREX,14,500,7000,Sangat Laris
68,KK1459,TONG TJI CELUP JASMIN 25S,1,10500,10500,Kurang Laris
69,KK0441,RED BOLD 20K,26,20000,520000,Sangat Laris
70,KK0444,HOTIN CREAM PUTIH 120G,1,21000,21000,Kurang Laris
71,KK0285,INDOMILK UHT KIDS COKELAT 115mL,6,3000,18000,Sangat Laris
72,KK0480,SEDAAP MIE AYAM BAWANG PCK 70g,65,2500,162500,Sangat Laris
73,KK1586,SEDAAP GORENG SALERO PADANG,9,3000,27000,Sangat Laris
74,KK1774,NANO NANO KULIT JERUK 12.5G,28,2000,56000,Sangat Laris
