Tanggal,Kode,Nama,Jumlah,Harga,Total
11/1/2021,KK0538,GG SURYA 12,1,19000,19000
11/1/2021,KK1288,BONCABE MAKARONI 150G LV 10,1,7500,7500
11/1/2021,KK1697,INDOFOOD SAMBAL PEDAS MANIS 135ML,1,5500,5500
11/1/2021,KK0540,GG SURYA 50 ECER,2,1500,3000
11/1/2021,KK0432,MENARA  FILTER MERAH BKS 16'S,1,16000,16000
11/1/2021,KK0963,LE MINERAL 600ML,1,2500,2500
11/1/2021,KK1512,INDOFOOD BUMBU OPOR SYSM,1,5500,5500
11/1/2021,KK0145,KAPAL API  SPECIAL PCK 65g,1,5000,5000
11/1/2021,KK1852,SAORI SAUS RASA MENTEGA 26ML,1,3000,3000
11/1/2021,KK1157,AICE SWEET CORN,1,3000,3000
11/1/2021,KK0051,SEK OM KUNING,2,500,1000
11/1/2021,KK0049,CENGKEH,2,1000,2000
11/1/2021,KK1251,GERY SALUT 0 DONAT,2,500,1000
11/1/2021,KK0856,FRUIT TEA BTL JAMBU KLUTHUK 350ML,1,3500,3500
11/1/2021,KK0632,GAS 3KG,1,19000,19000
11/1/2021,KK1881,LIFEBUOY BW LEMON 85ML,1,5000,5000
11/1/2021,KK0051,SEK OM KUNING,4,500,2000
11/1/2021,KK0538,GG SURYA 12,1,19000,19000
11/1/2021,KK0274,SHINZUI SBM SKIN  HANNA BOX 87/85g,1,3500,3500
11/1/2021,KK0001,HANSAPLAST PLESTER ELASTIC STD,1,1000,1000
11/1/2021,KK1398,OKEY SOSIS AYAM BAKAR 15G,2,500,1000
11/1/2021,KK0595,ROYCO AYAM 8g,1,5000,5000
11/1/2021,KK0588,SUNLIGHT JERUK NIPIS PCH 210/220mL,1,5000,5000
11/1/2021,KK1271,OKKY JELLY BIG STRAWBERRY,1,2000,2000
11/1/2021,KK0636,FRUIT TEA BLACKCURRANT PCH 230ML,1,2000,2000
11/1/2021,KK1271,OKKY JELLY BIG STRAWBERRY,1,2000,2000
11/1/2021,KK0286,INDOMILK UHT KIDS STRAWBERRY 115mL,1,2500,2500
11/1/2021,KK1169,ANDALAN FILTER 16,1,15500,15500
11/1/2021,KK1213,HELLO PANDA CHOCO CREAM,1,1000,1000
11/1/2021,KK0648,HELLO PANDA MILK CREAM 10GR,1,1000,1000
11/1/2021,KK0937,ASAM JAWA 500,1,500,500
11/1/2021,KK1213,HELLO PANDA CHOCO CREAM,1,1000,1000
11/1/2021,KK1449,BISKUAT BOLU 16.6G,1,2000,2000
11/1/2021,KK1812,GAGA MI GORENG SPESIAL,2,2500,5000
11/1/2021,KK0228,BENDERA FF SKM PUTIH 40g,1,1500,1500
11/1/2021,KK0597,BANGO KECAP MANIS  PCH 60mL,1,3000,3000
11/1/2021,KK0330,SEGITIGA BIRU TEPUNG TERIGU TRANSPARANT 500g,1,6000,6000
11/1/2021,KK1886,TROPICAL 2L,2,34000,68000
11/1/2021,KK0937,ASAM JAWA 500,2,500,1000
11/1/2021,KK0636,FRUIT TEA BLACKCURRANT PCH 230ML,1,2000,2000
11/1/2021,KK0560,SAMPOERNA MILD 12'S,1,18000,18000
11/1/2021,KK1840,MONDE SNACK SPICY 60G,1,4500,4500
11/1/2021,KK1525,TEBS KALENG 330ML,1,4000,4000
11/1/2021,KK1179,ZEE CHOCO BOOM 27G,2,2000,4000
11/1/2021,KK1555,NEXTAR PINEAPPLE JAM 40G,1,2000,2000
11/1/2021,KK1693,OISHI PILLOWS KEJU 7G,1,500,500
11/1/2021,KK1692,OISHI PILLOWS UBI 7G,1,500,500
11/1/2021,KK0159,TEH GELAS MINUMAN TEH ALAMI  CUP 170mL,1,1000,1000
11/1/2021,KK1287,BOLT  IKAN 1KG,1,21000,21000
11/1/2021,KK0937,ASAM JAWA 500,1,500,500
11/1/2021,KK0937,ASAM JAWA 500,4,500,2000
11/1/2021,KK1158,AICE MOCHI VANILA,1,2500,2500
11/1/2021,KK1692,OISHI PILLOWS UBI 7G,1,500,500
11/1/2021,KK1251,GERY SALUT 0 DONAT,1,500,500
11/1/2021,KK0328,CIMORY COKELAT 125ML,1,2500,2500
11/1/2021,KK0281,CHO CHO MILK BEAR 7G,1,500,500
11/1/2021,KK1251,GERY SALUT 0 DONAT,2,500,1000
11/1/2021,KK0688,WAFELLO COKLAT,1,2000,2000
11/1/2021,KK0752,MERRIES M9,1,17000,17000
11/1/2021,KK0656,GULA PASIR PUTIH LOS 1KG,1,12000,12000
11/1/2021,KK0937,ASAM JAWA 500,2,500,1000
11/1/2021,KK1155,AICE MANGO SLUSH,1,4000,4000
11/1/2021,KK1164,AICE CHOCO MELT,1,4000,4000
11/1/2021,KK1028,OREO ICE CREAM 4'S,1,2000,2000
11/1/2021,KK0082,ABC SAMBAL PEDAS PCK 10x18g,1,1000,1000
11/1/2021,KK1398,OKEY SOSIS AYAM BAKAR 15G,2,500,1000
11/1/2021,KK0164,FULLO CHOCO&VANILLA MILK 8G,2,500,1000
11/1/2021,KK1757,ALE ALE LECI,1,1000,1000
11/1/2021,KK1161,AICE TARO CRISPY,1,3000,3000
11/1/2021,KK1458,SUPER BUBUR CUP AYAM,1,6000,6000
11/1/2021,KK1714,TARO NET ITALIAN PIZZA 9G,1,1000,1000
11/1/2021,KK1251,GERY SALUT 0 DONAT,2,500,1000
11/1/2021,KK1894,SUPER BUBUR BURYAM 22G,2,1000,2000
11/1/2021,KK1692,OISHI PILLOWS UBI 7G,5,500,2500
11/1/2021,KK0890,JETZ CHOCO FIESTA 12G,1,1000,1000
11/1/2021,KK0487,SEDAAP GRG KR SPICY 87g,1,3000,3000
11/1/2021,KK0328,CIMORY COKELAT 125ML,1,2500,2500
11/1/2021,KK0159,TEH GELAS MINUMAN TEH ALAMI  CUP 170mL,1,1000,1000
11/1/2021,KK1239,AICE JERUK,2,2000,4000
11/1/2021,KK1270,ALE ALE STROWBERRY,2,1000,2000
11/1/2021,KK1271,OKKY JELLY BIG STRAWBERRY,1,2000,2000
11/1/2021,KK0937,ASAM JAWA 500,2,500,1000
11/1/2021,KK1564,BETTER FUN BITES ISI 4 48GR,1,2000,2000
11/1/2021,KK0685,CHOCOLATOS PREMIUM STICK,1,500,500
11/1/2021,KK1189,KACANG KORO ORIGINAL 18G,1,1000,1000
11/1/2021,KK0686,GERY SALUT COKLAT 7.5G,1,500,500
11/1/2021,KK1037,BODREX,4,500,2000
11/1/2021,KK1459,TONG TJI CELUP JASMIN 25S,1,10500,10500
11/1/2021,KK0937,ASAM JAWA 500,1,500,500
11/1/2021,KK0441,RED BOLD 20K,1,20000,20000
11/1/2021,KK0444,HOTIN CREAM PUTIH 120G,1,21000,21000
11/1/2021,KK0285,INDOMILK UHT KIDS COKELAT 115mL,1,3000,3000
11/1/2021,KK0480,SEDAAP MIE AYAM BAWANG PCK 70g,1,2500,2500
11/1/2021,KK1586,SEDAAP GORENG SALERO PADANG,2,3000,6000
11/1/2021,KK1525,TEBS KALENG 330ML,1,4000,4000
11/1/2021,KK1774,NANO NANO KULIT JERUK 12.5G,2,2000,4000
11/1/2021,KK0610,BANGO KECAP MANIS 20ml,1,1000,1000
11/1/2021,KK0215,MERRIES L1,2,2500,5000
11/1/2021,KK0281,CHO CHO MILK BEAR 7G,2,500,1000
11/1/2021,KK1725,FRUIT TEA BTL PASSION FRUIT 350ML,1,3500,3500
11/1/2021,KK1823,NISSIN GEKIKARA RAMEN JAMUR PDS,1,6500,6500
11/1/2021,KK1886,TROPICAL 2L,1,34000,34000
11/1/2021,KK1287,BOLT  IKAN 1KG,1,21000,21000
11/1/2021,KK1824,NISSIN GEKIKARA GORENG AYAM  PDS,2,6500,13000
11/1/2021,KK0689,KALPA WAFER COKLAT KELAPA 24G,2,2000,4000
11/1/2021,KK0459,ULTRA  SLIM COKLAT TPK 200mL,1,4500,4500
11/1/2021,KK0192,PALMIA MARGARINE SERBA GUNA  PCK 200g,1,4500,4500
11/1/2021,KK1719,SIKAT GIGI FORMULA DOUBLE ACTION,2,3000,6000
11/1/2021,KK0619,PEPSODENT 190G,1,10500,10500
11/1/2021,KK0589,BANGO KECAP MANIS REFILL 10050/10034  PCH 575/550mL,1,24000,24000
11/1/2021,KK1301,MAMA LIME CHARCOAL 780ML,1,14000,14000
11/1/2021,KK0499,SO KLIN SMART COLOR 800g,1,19000,19000
11/1/2021,KK0019,INDOFOOD SAMBAL XTRA PDS BTL 135/140mL,1,5500,5500
11/1/2021,KK0957,SAORI SAOS TIRAM 270,1,19000,19000
11/1/2021,KK1456,SAMPOERNA A MILD BIRU 16S,1,22500,22500
11/1/2021,KK0078,POCARI SWEAT  BTL 350mL,1,5500,5500
11/1/2021,KK0935,MAURI PAN,1,3000,3000
11/1/2021,KK0803,TOP WAFER CRM CHO,1,8500,8500
11/1/2021,KK1312,ABC JUS APEL 250ML,1,6500,6500
11/1/2021,KK1785,CHITATO LITE RUMPUT LAUT 35G,2,5500,11000
11/1/2021,KK0441,RED BOLD 20K,1,20000,20000
11/1/2021,KK1059,BENDERA FF PUREFARM KETAN HITAM 225ML,1,5500,5500
11/1/2021,KK0375,DUA KELINCI KACANG SUKRO OVEN BAWANG PCK 12g,1,1000,1000
11/1/2021,KK0974,SIMBA CHOCO CHIP 6G,1,500,500
11/1/2021,KK1347,KISS PRAY BLUIS SEMPROT 318ML,1,11500,11500
11/1/2021,KK0560,SAMPOERNA MILD 12'S,1,18000,18000
11/1/2021,KK1119,MENARA SEWU 16,1,15000,15000
11/1/2021,KK0850,ULTRA JAYA SARI ASEM 250ML,1,5000,5000
11/1/2021,KK0110,GOOD TIME  72G DOUBLE CHOC CCHIPS,1,6500,6500
11/1/2021,KK1835,WISKAS PCH 1+ OCEAN FISH 80G,1,7000,7000
11/1/2021,KK0538,GG SURYA 12,1,19000,19000
11/1/2021,KK0861,GULA KACANG MERBABU,2,10000,20000
11/1/2021,KK0479,SEDAAP MIE GORENG PCK 90g,3,2500,7500
11/1/2021,KK1269,SEDAAP MIE SINGAPORE SPICY LAKSA,2,2500,5000
11/1/2021,KK0007,INDOMIE GORENG PLUS SPECIAL 80g,1,3000,3000
11/1/2021,KK0487,SEDAAP GRG KR SPICY 87g,1,3000,3000
11/1/2021,KK0446,ANDALAN FILTER 12,1,11500,11500
11/1/2021,KK0558,DJI SAM SOE  KRETEK  (PCS)  BKS 12'S,1,17000,17000
11/1/2021,KK0114,ABC BATTERY BIRU R6 4'S  PCK,1,2500,2500
11/1/2021,KK0446,ANDALAN FILTER 12,1,11500,11500
11/1/2021,KK0538,GG SURYA 12,1,19000,19000
11/1/2021,KK0177,LA LIGHT 16'S,1,23000,23000
11/1/2021,KK0005,INDOMIE SOTO MIE 70g,7,3000,21000
11/1/2021,KK0441,RED BOLD 20K,1,20000,20000
11/1/2021,KK0144,KAPAL API  SPECIAL PCK 165g,1,11500,11500
11/1/2021,KK0184,DJARUM SUPER  FILTER MILD BLACK BKS 12'S,1,17000,17000
11/1/2021,KK0538,GG SURYA 12,1,19000,19000
11/1/2021,KK1692,OISHI PILLOWS UBI 7G,2,500,1000
11/2/2021,KK0538,GG SURYA 12,1,19000,19000
11/2/2021,KK0114,ABC BATTERY BIRU R6 4'S  PCK,2,2500,5000
11/2/2021,KK0183,DJARUM 76 KRETEK 12'S,1,14000,14000
11/2/2021,KK0684,RAMBAK JANGAN PAK,1,17000,17000
11/2/2021,KK0263,SALONPAS KOYO,1,7000,7000
11/2/2021,KK0337,FORTUNE MINYAK GORENG 1L,1,17500,17500
11/2/2021,KK1259,NABATI RICHEESE BLACK,2,2000,4000
11/2/2021,KK1877,SASA SANTAN BUBUK 20G,2,2000,4000
11/2/2021,KK0835,KRUPUK,2,2000,4000
11/2/2021,KK1456,SAMPOERNA A MILD BIRU 16S,1,22500,22500
11/2/2021,KK0302,NABATI RICHOCO WAFER CHOCOLATE PCK 50g,3,2000,6000
11/2/2021,KK0328,CIMORY COKELAT 125ML,1,2500,2500
11/2/2021,KK1462,BONCABE LV 15 2.5G,1,500,500
11/2/2021,KK0538,GG SURYA 12,1,19000,19000
11/2/2021,KK1755,GULA JAWA SETENGAH,1,6500,6500
11/2/2021,KK0600,SPR PELL REFILL LMN 111mL,1,2000,2000
11/2/2021,KK1208,SO KLIN SOFTERGENT PURPLE LAVDR 520G,1,9500,9500
11/2/2021,KK1643,MAMA LIME 230ML,1,4000,4000
11/2/2021,KK0198,BEAR BRAND SUSU ENCER STERIL  KLG 189mL,1,11000,11000
11/2/2021,KK0716,MERRIES S11,1,17000,17000
11/2/2021,KK1761,MASKER ORLEE EARLOOP,3,1000,3000
11/2/2021,KK0538,GG SURYA 12,1,19000,19000
11/2/2021,KK1880,SOKLIN SOFT ROSY PINK 490G,1,9500,9500
11/2/2021,KK0077,DOWNY SOFT FLORAL PINK SCT 11mL,10,500,5000
11/2/2021,KK1871,SERUPUT KOPI SUSU SI MANIS AREN 200ML,1,3000,3000
11/2/2021,KK0963,LE MINERAL 600ML,1,2500,2500
11/2/2021,KK0632,GAS 3KG,1,19000,19000
11/2/2021,KK0001,HANSAPLAST PLESTER ELASTIC STD,1,1000,1000
11/2/2021,KK0534,SUSU JAHE SIDOMUNCUL,3,1500,4500
11/2/2021,KK0937,ASAM JAWA 500,1,500,500
11/2/2021,KK1398,OKEY SOSIS AYAM BAKAR 15G,2,500,1000
11/2/2021,KK1896,NISSIN RAMEN YAKISOBA RASA TAKOYAKI 104G,1,6500,6500
11/2/2021,KK1751,GO CHOCOLATOS,1,500,500
11/2/2021,KK0159,TEH GELAS MINUMAN TEH ALAMI  CUP 170mL,1,1000,1000
11/2/2021,KK0159,TEH GELAS MINUMAN TEH ALAMI  CUP 170mL,2,1000,2000
11/2/2021,KK0872,FRUIT TEA APPLE 350ML,1,3500,3500
11/2/2021,KK1163,AICE 2 COLOR STICK,1,2000,2000
