Kode,Nama,Jumlah,Harga,Total
KK0538,GG SURYA 12,114,19000,2166000
KK1288,BONCABE MAKARONI 150G LV 10,1,7500,7500
KK1697,INDOFOOD SAMBAL PEDAS MANIS 135ML,2,5500,11000
KK0540,GG SURYA 50 ECER,175,1500,262500
KK0432,MENARA  FILTER MERAH BKS 16'S,3,16000,48000
KK0963,LE MINERAL 600ML,5,2500,12500
KK1512,INDOFOOD BUMBU OPOR SYSM,1,5500,5500
KK0145,KAPAL API  SPECIAL PCK 65g,10,5000,50000
KK1852,SAORI SAUS RASA MENTEGA 26ML,1,3000,3000
KK1157,AICE SWEET CORN,19,3000,57000
KK0051,SEK OM KUNING,20,500,10000
KK0049,CENGKEH,39,1000,39000
KK1251,GERY SALUT 0 DONAT,20,500,10000
KK0856,FRUIT TEA BTL JAMBU KLUTHUK 350ML,4,3500,14000
KK0632,GAS 3KG,37,19000,703000
KK1881,LIFEBUOY BW LEMON 85ML,1,5000,5000
KK0274,SHINZUI SBM SKIN  HANNA BOX 87/85g,4,3500,14000
KK0001,HANSAPLAST PLESTER ELASTIC STD,6,1000,6000
KK1398,OKEY SOSIS AYAM BAKAR 15G,28,500,14000
KK0595,ROYCO AYAM 8g,2,5000,10000
KK0588,SUNLIGHT JERUK NIPIS PCH 210/220mL,8,5000,40000
KK1271,OKKY JELLY BIG STRAWBERRY,7,2000,14000
KK0636,FRUIT TEA BLACKCURRANT PCH 230ML,9,2000,18000
KK0286,INDOMILK UHT KIDS STRAWBERRY 115mL,4,2500,10000
KK1169,ANDALAN FILTER 16,35,15500,542500
KK1213,HELLO PANDA CHOCO CREAM,3,1000,3000
KK0648,HELLO PANDA MILK CREAM 10GR,3,1000,3000
KK0937,ASAM JAWA 500,16,500,8000
KK1449,BISKUAT BOLU 16.6G,2,2000,4000
KK1812,GAGA MI GORENG SPESIAL,2,2500,5000
KK0228,BENDERA FF SKM PUTIH 40g,2,1500,3000
KK0597,BANGO KECAP MANIS  PCH 60mL,5,3000,15000
KK0330,SEGITIGA BIRU TEPUNG TERIGU TRANSPARANT 500g,6,6000,36000
KK1886,TROPICAL 2L,4,34000,136000
KK0560,SAMPOERNA MILD 12'S,21,18000,378000
KK1840,MONDE SNACK SPICY 60G,2,4500,9000
KK1525,TEBS KALENG 330ML,7,4000,28000
KK1179,ZEE CHOCO BOOM 27G,2,2000,4000
KK1555,NEXTAR PINEAPPLE JAM 40G,5,2000,10000
KK1693,OISHI PILLOWS KEJU 7G,13,500,6500
KK1692,OISHI PILLOWS UBI 7G,11,500,5500
KK0159,TEH GELAS MINUMAN TEH ALAMI  CUP 170mL,103,1000,103000
KK1287,BOLT  IKAN 1KG,11,21000,231000
KK1158,AICE MOCHI VANILA,22,2500,55000
KK0328,CIMORY COKELAT 125ML,8,2500,20000
KK0281,CHO CHO MILK BEAR 7G,5,500,2500
KK0688,WAFELLO COKLAT,2,2000,4000
KK0752,MERRIES M9,9,17000,153000
KK0656,GULA PASIR PUTIH LOS 1KG,57,12000,684000
KK1155,AICE MANGO SLUSH,4,4000,16000
KK1164,AICE CHOCO MELT,12,4000,48000
KK1028,OREO ICE CREAM 4'S,3,2000,6000
KK0082,ABC SAMBAL PEDAS PCK 10x18g,1,1000,1000
KK0164,FULLO CHOCO&VANILLA MILK 8G,2,500,1000
KK1757,ALE ALE LECI,17,1000,17000
KK1161,AICE TARO CRISPY,7,3000,21000
